"Title","Description","Singers (one line)","YoutubeID"
"തനിമ കലാസാഹിത്യ വേദി നടത്തിയ ഈദ് മെഹ്ഫിൽ പരുവാടിയിൽ ഞാൻ പാടിയ ഗാനം ","No description provided","Not credited","RnQ6IMH4tkU"
"പ്രാ‍ർഥന വീഡിയോ ഗാനം | Dua video song | Thanima Kalasahithya Vedi | Eid Malayalam song","പ്രാ‍ർഥന വീഡിയോ ഗാനം | Dua video song | Thanima Kalasahithya Vedi | Eid Malayalam song | മ്യൂസിക്: അബ്ദുൽ സലാം | രചന: ഫൈസൽ കൊച്ചി | പാടിയവർ: ഷംസു, സിറാജ്, നബീല, സഹല, സ്വാലിഹ | ഓർക്കസ്‌ട്രേഷൻ: ഐഎം ഷക്കീർ | മിക്സിംഗ് മാസ്റ്ററിംഗ്‌: അബ്ദുൽ ഹക്കീം","ഷംസു, സിറാജ്, നബീല, സഹല, സ്വാലിഹ","PJeAx2hjSsM"
"മതം ഒരു വരം | Theme Song | Thanima Kalasahithya Vedhi Kochi | Islam Campaign","മതം ഒരു വരം | Theme Song | Thanima Kalasahithya Vedhi Kochi | Islam Campaign | Lyric: Faisal Kochi | Singers: Shamsu Maloth, Nabeela | Music: IM Shakeer | Mixing, Mastering: Abdul Hakeem | Coordination: AS Muhammed","Shamsu Maloth, Nabeela","dPSHNEG5SJM"
